2020-11-19 00:51:41,683.1036.724.None.None.Move.clicking – main.py
2020-11-19 00:51:41,684.1036.724.None.None.Move.clicking – main.py
2020-11-19 00:51:41,687.1036.723.None.None.Move.clicking – main.py
2020-11-19 00:51:41,688.1035.723.None.None.Move.clicking – main.py
2020-11-19 00:51:41,693.1034.722.None.None.Move.clicking – main.py
2020-11-19 00:51:41,699.1033.722.None.None.Move.clicking – main.py
2020-11-19 00:51:41,705.1033.721.None.None.Move.clicking – main.py
2020-11-19 00:51:41,706.1033.721.None.None.Move.clicking – main.py
2020-11-19 00:51:41,712.1033.720.None.None.Move.clicking – main.py
2020-11-19 00:51:41,716.1032.720.None.None.Move.clicking – main.py
2020-11-19 00:51:41,719.1032.719.None.None.Move.clicking – main.py
2020-11-19 00:51:41,725.1032.719.None.None.Move.clicking – main.py
2020-11-19 00:51:41,731.1032.718.None.None.Move.clicking – main.py
2020-11-19 00:51:41,732.1031.718.None.None.Move.clicking – main.py
2020-11-19 00:51:41,737.1031.717.None.None.Move.clicking – main.py
2020-11-19 00:51:41,742.1031.717.None.None.Move.clicking – main.py
2020-11-19 00:51:41,747.1031.716.None.None.Move.clicking – main.py
2020-11-19 00:51:41,752.1031.715.None.None.Move.clicking – main.py
2020-11-19 00:51:41,756.1031.715.None.None.Move.clicking – main.py
2020-11-19 00:51:41,760.1031.714.None.None.Move.clicking – main.py
2020-11-19 00:51:41,764.1031.713.None.None.Move.clicking – main.py
2020-11-19 00:51:41,768.1031.712.None.None.Move.clicking – main.py
2020-11-19 00:51:41,772.1031.712.None.None.Move.clicking – main.py
2020-11-19 00:51:41,776.1031.711.None.None.Move.clicking – main.py
2020-11-19 00:51:41,780.1031.710.None.None.Move.clicking – main.py
2020-11-19 00:51:41,784.1031.710.None.None.Move.clicking – main.py
2020-11-19 00:51:41,787.1031.709.None.None.Move.clicking – main.py
2020-11-19 00:51:41,791.1031.708.None.None.Move.clicking – main.py
2020-11-19 00:51:41,795.1031.707.None.None.Move.clicking – main.py
2020-11-19 00:51:41,799.1031.707.None.None.Move.clicking – main.py
2020-11-19 00:51:41,803.1031.706.None.None.Move.clicking – main.py
2020-11-19 00:51:41,807.1031.705.None.None.Move.clicking – main.py
2020-11-19 00:51:41,811.1031.705.None.None.Move.clicking – main.py
2020-11-19 00:51:41,812.1031.705.None.None.Move.clicking – main.py
2020-11-19 00:51:41,815.1031.704.None.None.Move.clicking – main.py
2020-11-19 00:51:41,818.1031.703.None.None.Move.clicking – main.py
2020-11-19 00:51:41,822.1031.702.None.None.Move.clicking – main.py
2020-11-19 00:51:41,826.1031.702.None.None.Move.clicking – main.py
2020-11-19 00:51:41,830.1032.702.None.None.Move.clicking – main.py
